Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
25.4000       -451.1617    -453.6667       2.5050   312.6
25.4500       -451.1522    -453.7090       2.5568   319.0
25.5000       -451.2766    -453.7356       2.4590   306.8
25.5500       -451.4983    -453.7890       2.2907   285.8
25.6000       -451.5122    -454.2485       2.7363   341.4
25.6500       -451.4664    -453.5945       2.1280   265.5
25.7000       -451.5208    -453.7310       2.2102   275.8
25.7500       -451.4657    -453.8398       2.3740   296.2
25.8000       -451.8132    -454.0002       2.1870   272.9
25.8500       -451.7316    -453.8736       2.1420   267.3
25.9000       -451.8859    -454.2457       2.3597   294.4
25.9500       -451.7545    -454.0476       2.2931   286.1
26.0000       -451.7796    -453.9189       2.1393   266.9
26.0500       -451.9164    -454.4803       2.5639   319.9
26.1000       -451.7424    -453.8997       2.1573   269.2
26.1500       -451.4613    -453.5073       2.0459   255.3
26.2000       -451.7610    -454.1790       2.4180   301.7
26.2500       -451.8826    -454.2813       2.3988   299.3
26.3000       -450.9476    -453.8543       2.9067   362.7
26.3500       -450.9107    -453.3591       2.4484   305.5
26.4000       -451.1063    -454.1360       3.0298   378.1
26.4500       -451.4268    -453.8959       2.4691   308.1
26.5000       -451.6178    -453.8354       2.2176   276.7
26.5500       -451.8760    -454.1407       2.2647   282.6
